Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$355,844",1,Female,200,1,Judge – law
"$323,682",2,Female,26,1,Neurosurgeon
"$281,608",3,Female,56,1,Plastic and reconstructive surgeon
"$281,600",4,Female,28,1,Futures trader
"$271,529",5,Female,15,1,Vascular surgeon
"$264,628",6,Female,570,1,Gynaecologist; Obstetrician
"$260,925",7,Female,86,1,Gastroenterologist
"$260,161",8,Female,200,1,Magistrate
"$243,582",9,Female,945,1,Anaesthetist
"$217,242",10,Female,143,1,Ophthalmologist
"$215,920",11,Female,151,1,Cardiologist
"$213,094",12,Female,44,1,Urologist
"$210,796",13,Female,309,1,Surgeon – general
"$208,612",14,Female,145,1,Medical oncologist
"$207,599",15,Female,530,1,Specialist physicians – other
"$207,225",16,Female,500,1,Specialist physician – general medicine
"$200,136",17,Female,17,1,Otorhinolaryngologist
"$195,030",18,Female,178,1,Dermatologist
"$180,695",19,Female,713,1,Diagnostic and interventional radiologist
"$175,500",20,Female,11,1,Cardiothoracic surgeon
"$175,314",21,Female,44,1,Paediatric surgeon
"$174,542",22,Female,122,1,Endocrinologist
"$173,331",23,Female,245,1,Member of parliament
"$169,409",24,Female,50,1,Rheumatologist
"$169,369",25,Female,133,1,Intensive care specialist
"$165,786",26,Female,474,1,Emergency medicine specialist
"$159,479",27,Female,61,1,Orthopaedic surgeon
"$155,217",28,Female,97,1,Neurologist
"$155,133",29,Female,52,1,Renal medicine specialist
"$152,437",30,Female,1126,1,Psychiatrist
"$147,970",31,Female,118,1,Clinical haematologist
"$147,347",32,Female,654,1,Paediatrician
"$145,208",33,Female,169,1,Securities and finance dealer
"$140,505",34,Female,320,1,Dental specialist
"$136,819",35,Female,577,1,Actuary
"$135,678",36,Female,256,1,Radiation oncologist
"$134,481",37,Female,668,1,Financial investment manager
"$133,315",38,Female,319,1,Petroleum engineer
"$133,061",39,Female,281,1,Mining production manager
"$129,834",40,Female,9434,1,General medical practitioner
"$127,645",41,Female,34,1,Thoracic medicine specialist
"$124,433",42,Female,253,1,Stock exchange dealer; Stockbroker
"$123,281",43,Female,5,1,Paving plant operator
"$119,564",44,Female,554,1,Mining engineer
"$119,219",45,Female,131,1,Tribunal member
"$118,310",46,Female,9756,1,Doctor – medical practitioner – other; Occupational medicine specialist; Public health physician; Sports physician
"$117,575",47,Female,259,1,Geophysicist
"$116,855",48,Female,41895,1,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary
"$116,732",49,Female,1219,1,Engineering manager
"$110,359",50,Female,258,1,Metallurgist
"$107,786",51,Female,1837,1,Company secretary – corporate governance
"$107,152",52,Female,1494,1,Corporate treasurer; Financial risk analyst; Financial risk manager
"$106,000",53,Female,197,1,Gas or petroleum plant operator
